City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavieng,PG,80.76,moderate rain,-2.5744,150.7967,Nusa Island Retreat
1,Jalu,LY,89.11,clear sky,29.0331,21.5482,صاحبة الفخامة
2,Diu,IN,82.08,clear sky,20.7141,70.9822,Hotel Relax Inn
3,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
6,The Valley,AI,87.66,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
8,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
9,Rikitea,PF,75.36,overcast clouds,-23.1203,-134.9692,Pension Maro'i
13,Kapaa,US,83.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Conceicao Do Araguaia,BR,93.33,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
15,Sao Filipe,CV,74.26,broken clouds,14.8961,-24.4956,Hotel Xaguate
21,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
25,Cockburn Town,TC,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
27,Hithadhoo,MV,83.37,few clouds,-0.6,73.0833,Scoop Guest House
29,Hilo,US,81.81,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
30,Sao Gabriel Da Cachoeira,BR,87.6,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
37,Puerto Ayora,EC,84.16,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Sibut,CF,79.05,overcast clouds,5.718,19.0739,
41,Marsa Matruh,EG,74.25,clear sky,31.3525,27.2453,Beau Site
44,Gazojak,TM,93.36,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
46,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
48,Dicabisagan,PH,79.23,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
49,Rantoul,US,71.1,clear sky,40.3084,-88.1559,First Heritage Inn
51,Mabaruma,GY,77.45,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
52,Atuona,PF,79.61,clear sky,-9.8,-139.0333,Villa Enata
54,Waingapu,ID,75.76,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
55,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
59,Porto Nacional,BR,91.4,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
60,Hambantota,LK,80.17,overcast clouds,6.1241,81.1185,Bungalow 63
61,Dingle,PH,78.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Prado,BR,77.23,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
67,Bosaso,SO,87.46,clear sky,11.2842,49.1816,Red Sea Hotel
69,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
77,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
79,Alugan,PH,77.95,overcast clouds,12.2188,125.4808,JM Lodge
81,Pierre,US,74.32,clear sky,44.3683,-100.351,Ramkota Hotel
83,Jiazi,CN,79.7,light rain,22.8779,116.067,Hotel Jin Hao
84,Saint-Philippe,RE,70.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Faya,SA,71.71,few clouds,18.3851,42.4509,مقبرة ال مجمل
87,Lompoc,US,78.1,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
89,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
91,Velez-Malaga,ES,83.16,overcast clouds,36.7726,-4.1005,Hotel Torremar
97,Pauini,BR,89.87,light rain,-7.7136,-66.9764,Casa do Kiwliks
101,Nalut,LY,87.03,broken clouds,30.3333,10.85,
104,Hays,US,85.82,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
107,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
108,Tiznit,MA,78.35,overcast clouds,29.5833,-9.5,
111,Prabumulih,ID,73.71,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
113,Quelimane,MZ,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
114,Kashi,CN,76.21,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
115,Kahului,US,83.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
116,Piacabucu,BR,77.47,few clouds,-10.4056,-36.4344,Piaçabuçu News
117,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
119,San Patricio,US,87.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
123,Bandarbeyla,SO,79.14,broken clouds,9.4942,50.8122,JABIR HOTEL
125,Sola,VU,77.25,overcast clouds,-13.8833,167.55,Leumerus Bungalows
126,Faanui,PF,80.01,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
