City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kavieng,PG,-2.5744,150.7967,80.76,81,100,9.53,moderate rain
1,Jalu,LY,29.0331,21.5482,89.11,18,0,12.91,clear sky
2,Diu,IN,20.7141,70.9822,82.08,80,7,11.97,clear sky
3,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,75,8.05,broken clouds
4,Bethel,US,41.3712,-73.414,50.49,90,90,1.99,moderate rain
5,Shelburne,CA,44.0787,-80.2041,66.67,43,5,4.52,clear sky
6,The Valley,AI,18.217,-63.0578,87.66,65,75,16.11,broken clouds
7,Margate,GB,51.3813,1.3862,53.31,79,6,1.99,clear sky
8,Komsomolskiy,UZ,40.4272,71.7189,79.52,25,91,2.3,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,75.36,71,96,12.35,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,37.51,52,75,9.06,broken clouds
11,Boussu,BE,50.4342,3.7944,68.99,48,1,7.92,clear sky
12,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,3.44,broken clouds
13,Kapaa,US,22.0752,-159.319,83.48,62,1,1.01,clear sky
14,Conceicao Do Araguaia,BR,-8.2578,-49.2647,93.33,36,0,3.33,clear sky
15,Sao Filipe,CV,14.8961,-24.4956,74.26,74,72,16.71,broken clouds
16,Ushuaia,AR,-54.8,-68.3,31.62,100,75,3.44,light snow
17,Aykhal,RU,66.0,111.5,50.54,47,11,3.91,few clouds
18,Mataura,NZ,-46.1927,168.8643,49.48,99,100,2.89,overcast clouds
19,Xichang,CN,27.8964,102.2634,65.5,78,90,2.24,overcast clouds
20,Lapeer,US,43.0514,-83.3188,69.67,24,1,4.61,clear sky
21,Mahebourg,MU,-20.4081,57.7,73.26,94,40,6.91,scattered clouds
22,New Norfolk,AU,-42.7826,147.0587,40.5,88,35,3.24,scattered clouds
23,Ketchikan,US,55.3422,-131.6461,53.58,87,90,9.22,light rain
24,Vaini,TO,-21.2,-175.2,73.56,100,90,5.75,overcast clouds
25,Cockburn Town,TC,21.4612,-71.1419,84.16,65,75,17.27,broken clouds
26,Desaguadero,PE,-16.5656,-69.0417,53.92,42,95,13.6,overcast clouds
27,Hithadhoo,MV,-0.6,73.0833,83.37,72,14,17.13,few clouds
28,Albany,US,42.6001,-73.9662,49.08,92,100,6.33,light rain
29,Hilo,US,19.7297,-155.09,81.81,74,1,9.22,clear sky
30,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,70,20,2.28,few clouds
31,Haines Junction,CA,60.7522,-137.5108,53.55,43,100,5.75,overcast clouds
32,Nikolskoye,RU,59.7035,30.7861,48.09,64,0,1.74,clear sky
33,Busselton,AU,-33.65,115.3333,54.09,63,100,15.57,overcast clouds
34,Bluff,NZ,-46.6,168.3333,49.8,92,100,20.96,overcast clouds
35,Lebu,CL,-37.6167,-73.65,56.16,85,100,10.58,overcast clouds
36,Beziers,FR,43.3476,3.219,69.33,64,0,1.72,clear sky
37,Puerto Ayora,EC,-0.7393,-90.3518,84.16,78,18,8.99,few clouds
38,Sibut,CF,5.718,19.0739,79.05,69,99,1.45,overcast clouds
