City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,90,AR,2021-05-28 19:11:41,86,-54.8,-68.3,33.46,33.38
1,Manggar,82,ID,2021-05-28 19:14:09,77,-2.8833,108.2667,80.91,2.8
2,Bar Harbor,1,US,2021-05-28 19:14:10,37,44.3876,-68.2039,60.53,8.01
3,Port Macquarie,100,AU,2021-05-28 19:14:10,79,-31.4333,152.9167,51.89,15.75
4,Risor,0,NO,2021-05-28 19:14:11,78,58.7206,9.2342,60.17,5.84
5,Ugoofaaru,17,MV,2021-05-28 19:09:17,74,5.6667,73.0,84.06,21.47
6,Havoysund,100,NO,2021-05-28 19:14:11,63,70.9963,24.6622,35.83,17.27
7,Albany,100,US,2021-05-28 19:14:11,64,42.6001,-73.9662,57.27,5.28
8,Provideniya,4,RU,2021-05-28 19:14:12,45,64.3833,-173.3,42.3,12.17
9,Alice Springs,2,AU,2021-05-28 19:10:47,75,-23.7,133.8833,36.95,6.58
10,Yantal,100,RU,2021-05-28 19:14:12,94,56.8471,105.2542,45.55,12.35
11,Jamestown,90,US,2021-05-28 19:11:40,94,42.097,-79.2353,51.12,5.01
12,Bethel,75,US,2021-05-28 19:10:16,52,41.3712,-73.414,65.17,6.91
13,Jackson,1,US,2021-05-28 19:14:02,45,42.4165,-122.8345,69.37,3.44
14,Mataura,100,NZ,2021-05-28 19:14:13,99,-46.1927,168.8643,49.48,1.34
15,Ixtapa,1,MX,2021-05-28 19:14:13,58,20.7,-105.2,85.23,9.22
16,Atuona,4,PF,2021-05-28 19:11:41,75,-9.8,-139.0333,79.61,16.13
17,Busselton,73,AU,2021-05-28 19:14:14,89,-33.65,115.3333,59.04,14.63
18,Maholi,100,IN,2021-05-28 19:14:14,78,27.6667,80.4667,78.13,12.37
19,Qaanaaq,100,GL,2021-05-28 19:14:14,91,77.484,-69.3632,40.55,5.28
20,Saskylakh,66,RU,2021-05-28 19:14:14,88,71.9167,114.0833,32.79,6.62
21,Rikitea,27,PF,2021-05-28 19:14:15,73,-23.1203,-134.9692,75.09,20.09
22,El Carmen,77,CO,2021-05-28 19:14:15,67,8.5106,-73.4478,81.79,2.55
23,Santo Antonio Do Ica,100,BR,2021-05-28 19:14:16,79,-3.1022,-67.9397,83.48,2.35
24,Nome,1,US,2021-05-28 19:14:16,22,64.5011,-165.4064,55.47,24.16
25,Cabo San Lucas,1,MX,2021-05-28 19:11:37,42,22.8909,-109.9124,100.51,5.75
26,Kyshtovka,15,RU,2021-05-28 19:14:17,69,56.555,76.6271,40.96,2.44
27,Hilo,90,US,2021-05-28 19:10:49,68,19.7297,-155.09,78.8,4.61
28,Harper,81,LR,2021-05-28 19:11:57,85,4.375,-7.7169,80.65,7.27
29,Punta Arenas,40,CL,2021-05-28 19:11:07,60,-53.15,-70.9167,39.11,20.42
30,Pacific Grove,40,US,2021-05-28 19:13:43,84,36.6177,-121.9166,81.07,4.0
31,Codrington,16,AU,2021-05-28 19:14:17,85,-38.2667,141.9667,42.93,4.18
32,Aklavik,100,CA,2021-05-28 19:11:45,61,68.2191,-135.0107,30.92,13.62
33,Sept-Iles,100,CA,2021-05-28 19:10:32,44,50.2001,-66.3821,48.25,14.0
34,Tiksi,100,RU,2021-05-28 19:14:18,96,71.6872,128.8694,32.31,13.56
35,Eyl,7,SO,2021-05-28 19:14:18,79,7.9803,49.8164,80.2,19.24
36,Touros,100,BR,2021-05-28 19:14:18,76,-5.1989,-35.4608,83.3,15.52
37,Atambua,40,ID,2021-05-28 19:14:19,88,-9.1061,124.8925,71.35,5.23
38,Hermanus,2,ZA,2021-05-28 19:11:54,87,-34.4187,19.2345,60.8,14.76
39,Takoradi,52,GH,2021-05-28 19:14:19,83,4.8845,-1.7554,81.46,8.46
40,Thompson,100,CA,2021-05-28 19:10:10,20,55.7435,-97.8558,65.82,19.13
41,Slatyne,100,UA,2021-05-28 19:14:19,91,50.2242,36.1608,72.59,3.69
42,Pangkalanbuun,44,ID,2021-05-28 19:14:20,98,-2.6833,111.6167,74.44,0.45
43,Xuddur,100,SO,2021-05-28 19:14:20,67,4.1213,43.8894,76.39,12.57
